,episode_length,ep_reward,episodes,total_step,average_return
0,20,1.0,0,20,1.0
1,20,-1.0,100,2020,0.05
2,20,-1.0,200,4020,-0.07
3,20,0.0,300,6020,0.05
4,20,0.0,400,8020,0.17
5,20,-1.0,500,10020,0.25
6,20,0.0,600,12020,0.39
7,20,1.0,700,14020,0.37
8,20,1.0,800,16020,0.48
9,20,0.0,900,18020,0.44
10,20,0.0,1000,20020,0.46
