,episode_length,ep_reward,episodes,total_step,average_return
0,20,0.0,0,20,0.0
1,20,-2.0,100,2020,0.01
2,20,-1.0,200,4020,0.07
3,20,0.0,300,6020,-0.06
4,20,0.0,400,8020,0.12
5,20,0.0,500,10020,-0.25
6,20,0.0,600,12020,0.05
7,20,-1.0,700,14020,0.03
8,20,0.0,800,16020,0.43
9,20,1.0,900,18020,0.42
10,20,2.0,1000,20020,0.59
